,x,y,z,r_dist,r,uni,passes,residence_time,burnup
179,8.4878,-15.561,34.8293,39.0802713441194,2,u_fuel_pebble,2,48.0,14.399999999999999
180,14.1463,-15.561,34.8293,40.685902511557984,2,u_fuel_pebble,3,88.0,26.4
181,19.8049,-15.561,34.8293,42.98207677044003,2,u_fuel_pebble,1,7.999999999999999,2.3999999999999995
182,-22.6341,-12.7317,34.8293,43.44512407842795,2,u_fuel_pebble,2,48.0,14.399999999999999
183,-16.9756,-12.7317,34.8293,40.78415524122083,2,u_fuel_pebble,2,48.0,14.399999999999999
184,-11.3171,-12.7317,34.8293,38.77180774467448,2,u_fuel_pebble,2,48.0,14.399999999999999
185,-5.65854,-12.7317,34.8293,37.51260319294837,2,u_fuel_pebble,4,128.0,38.4
186,0.0,-12.7317,34.8293,37.08336990323291,2,u_fuel_pebble,5,168.0,50.4
187,5.65854,-12.7317,34.8293,37.51260319294837,2,u_fuel_pebble,2,48.0,14.399999999999999
188,11.3171,-12.7317,34.8293,38.77180774467448,2,u_fuel_pebble,2,48.0,14.399999999999999
189,16.9756,-12.7317,34.8293,40.78415524122083,2,u_fuel_pebble,3,88.0,26.4
190,22.6341,-12.7317,34.8293,43.44512407842795,2,u_fuel_pebble,5,168.0,50.4
191,-25.4634,-9.90244,34.8293,44.266501962585664,2,u_fuel_pebble,1,7.999999999999999,2.3999999999999995
192,-19.8049,-9.90244,34.8293,41.27193381044315,2,u_fuel_pebble,3,88.0,26.4
193,-14.1463,-9.90244,34.8293,38.87487955137097,2,u_fuel_pebble,3,88.0,26.4
194,-8.4878,-9.90244,34.8293,37.1911441781992,2,u_fuel_pebble,3,88.0,26.4
195,-2.82927,-9.90244,34.8293,36.32001135980688,2,u_fuel_pebble,5,168.0,50.4
196,2.82927,-9.90244,34.8293,36.32001135980688,2,u_fuel_pebble,5,168.0,50.4
197,8.4878,-9.90244,34.8293,37.1911441781992,2,u_fuel_pebble,4,128.0,38.4
198,14.1463,-9.90244,34.8293,38.87487955137097,2,u_fuel_pebble,4,128.0,38.4
199,19.8049,-9.90244,34.8293,41.27193381044315,2,u_fuel_pebble,3,88.0,26.4
200,25.4634,-9.90244,34.8293,44.266501962585664,2,u_fuel_pebble,4,128.0,38.4
201,-22.6341,-7.07317,34.8293,42.13564233696812,2,u_fuel_pebble,3,88.0,26.4
202,-16.9756,-7.07317,34.8293,39.38630304685755,2,u_fuel_pebble,1,7.999999999999999,2.3999999999999995
203,-11.3171,-7.07317,34.8293,37.29861424703203,2,u_fuel_pebble,1,7.999999999999999,2.3999999999999995
204,-5.65854,-7.07317,34.8293,35.98790001195541,2,u_fuel_pebble,3,88.0,26.4
205,0.0,-7.07317,34.8293,35.540257066303,2,u_fuel_pebble,1,7.999999999999999,2.3999999999999995
206,5.65854,-7.07317,34.8293,35.98790001195541,2,u_fuel_pebble,1,7.999999999999999,2.3999999999999995
207,11.3171,-7.07317,34.8293,37.29861424703203,2,u_fuel_pebble,3,88.0,26.4
208,16.9756,-7.07317,34.8293,39.38630304685755,2,u_fuel_pebble,2,48.0,14.399999999999999
209,22.6341,-7.07317,34.8293,42.13564233696812,2,u_fuel_pebble,4,128.0,38.4
210,-25.4634,-4.2439,34.8293,43.35291876286993,2,u_fuel_pebble,5,168.0,50.4
211,-19.8049,-4.2439,34.8293,40.290506198234844,2,u_fuel_pebble,2,48.0,14.399999999999999
212,-14.1463,-4.2439,34.8293,37.83131810273071,2,u_fuel_pebble,1,7.999999999999999,2.3999999999999995
213,-8.4878,-4.2439,34.8293,36.09894146010379,2,u_fuel_pebble,2,48.0,14.399999999999999
214,-2.82927,-4.2439,34.8293,35.20078968479117,2,u_fuel_pebble,3,88.0,26.4
215,2.82927,-4.2439,34.8293,35.20078968479117,2,u_fuel_pebble,4,128.0,38.4
216,8.4878,-4.2439,34.8293,36.09894146010379,2,u_fuel_pebble,4,128.0,38.4
217,14.1463,-4.2439,34.8293,37.83131810273071,2,u_fuel_pebble,4,128.0,38.4
218,19.8049,-4.2439,34.8293,40.290506198234844,2,u_fuel_pebble,2,48.0,14.399999999999999
219,25.4634,-4.2439,34.8293,43.35291876286993,2,u_fuel_pebble,1,7.999999999999999,2.3999999999999995
220,-22.6341,-1.41463,34.8293,41.561806978726274,2,u_fuel_pebble,4,128.0,38.4
221,-16.9756,-1.41463,34.8293,38.77179789340314,2,u_fuel_pebble,1,7.999999999999999,2.3999999999999995
222,-11.3171,-1.41463,34.8293,36.64912098450521,2,u_fuel_pebble,5,168.0,50.4
223,-5.65854,-1.41463,34.8293,35.31430859380515,2,u_fuel_pebble,5,168.0,50.4
224,0.0,-1.41463,34.8293,34.858016531737725,2,u_fuel_pebble,4,128.0,38.4
225,5.65854,-1.41463,34.8293,35.31430859380515,2,u_fuel_pebble,1,7.999999999999999,2.3999999999999995
226,11.3171,-1.41463,34.8293,36.64912098450521,2,u_fuel_pebble,2,48.0,14.399999999999999
227,16.9756,-1.41463,34.8293,38.77179789340314,2,u_fuel_pebble,2,48.0,14.399999999999999
228,22.6341,-1.41463,34.8293,41.561806978726274,2,u_fuel_pebble,4,128.0,38.4
229,-25.4634,1.41463,34.8293,43.16788222842187,2,u_fuel_pebble,2,48.0,14.399999999999999
230,-19.8049,1.41463,34.8293,40.09133797389282,2,u_fuel_pebble,1,7.999999999999999,2.3999999999999995
231,-14.1463,1.41463,34.8293,37.619132369273224,2,u_fuel_pebble,5,168.0,50.4
232,-8.4878,1.41463,34.8293,35.87651133216412,2,u_fuel_pebble,3,88.0,26.4
233,-2.82927,1.41463,34.8293,34.97264767300011,2,u_fuel_pebble,1,7.999999999999999,2.3999999999999995
234,2.82927,1.41463,34.8293,34.97264767300011,2,u_fuel_pebble,2,48.0,14.399999999999999
235,8.4878,1.41463,34.8293,35.87651133216412,2,u_fuel_pebble,4,128.0,38.4
236,14.1463,1.41463,34.8293,37.619132369273224,2,u_fuel_pebble,2,48.0,14.399999999999999
237,19.8049,1.41463,34.8293,40.09133797389282,2,u_fuel_pebble,4,128.0,38.4
238,25.4634,1.41463,34.8293,43.16788222842187,2,u_fuel_pebble,4,128.0,38.4
239,-22.6341,4.2439,34.8293,41.753961590608384,2,u_fuel_pebble,2,48.0,14.399999999999999
240,-16.9756,4.2439,34.8293,38.97770928441024,2,u_fuel_pebble,4,128.0,38.4
241,-11.3171,4.2439,34.8293,36.86688999780155,2,u_fuel_pebble,4,128.0,38.4
242,-5.65854,4.2439,34.8293,35.54025746434036,2,u_fuel_pebble,5,168.0,50.4
243,0.0,4.2439,34.8293,35.08690390587349,2,u_fuel_pebble,2,48.0,14.399999999999999
244,5.65854,4.2439,34.8293,35.54025746434036,2,u_fuel_pebble,5,168.0,50.4
245,11.3171,4.2439,34.8293,36.86688999780155,2,u_fuel_pebble,1,7.999999999999999,2.3999999999999995
246,16.9756,4.2439,34.8293,38.97770928441024,2,u_fuel_pebble,2,48.0,14.399999999999999
247,22.6341,4.2439,34.8293,41.753961590608384,2,u_fuel_pebble,4,128.0,38.4
248,-25.4634,7.07317,34.8293,43.72064285779545,2,u_fuel_pebble,2,48.0,14.399999999999999
249,-19.8049,7.07317,34.8293,40.685918157870056,2,u_fuel_pebble,5,168.0,50.4
250,-14.1463,7.07317,34.8293,38.252159102838895,2,u_fuel_pebble,1,7.999999999999999,2.3999999999999995
251,-8.4878,7.07317,34.8293,36.53974029982835,2,u_fuel_pebble,3,88.0,26.4
252,-2.82927,7.07317,34.8293,35.652694723846615,2,u_fuel_pebble,5,168.0,50.4
253,2.82927,7.07317,34.8293,35.652694723846615,2,u_fuel_pebble,4,128.0,38.4
254,8.4878,7.07317,34.8293,36.53974029982835,2,u_fuel_pebble,5,168.0,50.4
255,14.1463,7.07317,34.8293,38.252159102838895,2,u_fuel_pebble,2,48.0,14.399999999999999
256,19.8049,7.07317,34.8293,40.685918157870056,2,u_fuel_pebble,3,88.0,26.4
257,25.4634,7.07317,34.8293,43.72064285779545,2,u_fuel_pebble,3,88.0,26.4
258,-22.6341,9.90244,34.8293,42.70176740198935,2,u_fuel_pebble,3,88.0,26.4
259,-16.9756,9.90244,34.8293,39.991367215983004,2,u_fuel_pebble,4,128.0,38.4
260,-11.3171,9.90244,34.8293,37.93698998146269,2,u_fuel_pebble,5,168.0,50.4
261,-5.65854,9.90244,34.8293,36.64911365060826,2,u_fuel_pebble,3,88.0,26.4
